date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:57	79/79	U-----	200	untouched ('OK')	text/plain	etag:W/%226230b539-65%22	https://soap2day-online.com/robots.txt		(from )
16:56:57	60021/60021	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202023%2011:26:54%20GMT	https://soap2day-online.com/	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/index.html	(from )
16:56:57	94889/94889	---MCZ	200	added ('OK')	text/css	etag:W/%226389eb89-172a9%22	https://soap2day-online.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://soap2day-online.com/)
16:56:58	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%226389eb89-d9%22	https://soap2day-online.com/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-includes/css/classic-themes.min68b3.css	(from https://soap2day-online.com/)
16:56:58	128398/128398	U-----	200	untouched ('OK')	text/css	etag:W/%225e21851d-1f58e%22	https://soap2day-online.com/wp-content/themes/PsyPlay/css/bootstrap.min.css?v=0.1	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/css/bootstrap.min7e0c.css	(from https://soap2day-online.com/)
16:56:58	2530/2530	U-----	200	untouched ('')	image/png	etag:%22638f7187-9e2%22	https://soap2day-online.com/wp-content/uploads/favicon.png	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/uploads/favicon.png	(from https://soap2day-online.com/)
16:56:58	60021/60021	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Jan%202023%2011:26:58%20GMT	https://soap2day-online.com/?	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/indexd41d.html	(from https://soap2day-online.com/)
16:56:58	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%225e2172e6-415%22	https://soap2day-online.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-includes/wlwmanifest.xml	(from https://soap2day-online.com/)
16:56:58	116242/116242	U-----	200	untouched ('OK')	text/css	etag:W/%226230b1fa-1caee%22	https://soap2day-online.com/wp-content/themes/PsyPlay/css/main.css?ver=1.2.7.3	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/css/main01c0.css	(from https://soap2day-online.com/)
16:56:59	3985/3985	U-----	200	untouched ('OK')	text/css	etag:W/%225e21851f-f93%22	https://soap2day-online.com/wp-content/themes/PsyPlay/css/jquery.cluetip.css?ver=1.2.7	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/css/jquery.cluetip4281.css	(from https://soap2day-online.com/)
16:56:59	8913/8913	U-----	200	untouched ('OK')	text/css	etag:W/%225e218520-22d1%22	https://soap2day-online.com/wp-content/themes/PsyPlay/css/jquery.qtip.min.css?ver=1.2.7	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/css/jquery.qtip.min4281.css	(from https://soap2day-online.com/)
16:56:59	17419/17419	U-----	200	untouched ('OK')	text/css	etag:W/%226230b181-4baf%22	https://soap2day-online.com/wp-content/themes/PsyPlay/css/custom.css?ver=1.2.7.22	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/css/custom4584.css	(from https://soap2day-online.com/)
16:57:02	14348/14348	U-----	200	untouched ('OK')	text/css	etag:W/%225e218523-3822%22	https://soap2day-online.com/wp-content/themes/PsyPlay/css/slide.css?ver=1.2.7	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/css/slide4281.css	(from https://soap2day-online.com/)
16:58:20	587/587	U-----	200	untouched ('OK')	text/css	etag:W/%22628ddaa6-24b%22	https://soap2day-online.com/wp-content/plugins/addthis/frontend/build/addthis_wordpress_public.min.css?ver=6.1.1	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/plugins/addthis/frontend/build/addthis_wordpress_public.min6a4d.css	(from https://soap2day-online.com/)
16:58:24	3031/3031	U-----	200	untouched ('')	application/javascript	etag:W/%226389ebae-bd7%22	https://soap2day-online.com/wp-content/plugins/wordpress-popular-posts/assets/js/wpp.min.js?ver=6.1.1	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/plugins/wordpress-popular-posts/assets/js/wpp.min6a4d.js	(from https://soap2day-online.com/)
16:58:24	306/306	U-----	200	untouched ('OK')	text/css	etag:W/%22631f3f35-549%22	https://soap2day-online.com/wp-content/plugins/wp-postratings/css/postratings-css.css?ver=1.90	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/plugins/wp-postratings/css/postratings-css096b.css	(from https://soap2day-online.com/)
16:58:24	438/438	U-----	200	untouched ('OK')	text/css	etag:W/%226389ebae-688%22	https://soap2day-online.com/wp-content/plugins/wordpress-popular-posts/assets/css/wpp.css?ver=6.1.1	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/plugins/wordpress-popular-posts/assets/css/wpp6a4d.css	(from https://soap2day-online.com/)
